DivisionNm,PartyAb,PartyNm,Surname,GivenNm
McEwen,ON,Pauline Hanson's One Nation,BRADBURY,Chris
Gellibrand,ON,Pauline Hanson's One Nation,BRADDOCK,Rob
Parramatta,GRN,The Greens,BRADLEY,Phil
Swan,WAP,WESTERN AUSTRALIA PARTY,BRADLEY,Rod
Barker,ALP,Australian Labor Party,BRAES,Mark
Kennedy,ALP,Australian Labor Party,BRANDON,Jason
Boothby,AJP,Animal Justice Party,BRAY,Frankie
Fisher,AJP,Animal Justice Party,BRECKENRIDGE,Vickie
Isaacs,GVIC,The Greens,BRESKIN,Alex
Bradfield,ALP,Labor,BRIGDEN,David Gordon
Braddon,GRN,The Greens,BRIGGS,Darren
Moore,ON,Pauline Hanson's One Nation,BRIGHTMAN,Brian
Casey,ALP,Australian Labor Party,BRINDLE,Bill
Cunningham,UAPP,United Australia Party,BRITTON,Ben
Farrer,ASP,"Shooters, Fishers and Farmers Party",BRITTON,Paul
Moncrieff,GRN,Queensland Greens,BROADBENT,April
Monash,LP,Liberal,BROADBENT,Russell
Newcastle,AJP,Animal Justice Party,BROLLO,Emily
Fadden,IND,Independent,BROOKER,Stewart Gordon
Nicholls,LP,Liberal,BROOKS,Steve
Aston,TNL,TNL,BRUCE,Ryan
Dickson,IND,Independent,BUCHBACH,Alan
Wright,LNP,Liberal National Party of Queensland,BUCHHOLZ,Scott
Wide Bay,ON,Pauline Hanson's One Nation,BUCKLEY,Nathan
Brisbane,LDP,Liberal Democrats,BULL,Anthony
Corio,SAL,Socialist Alliance,BULL,Sue
Watson,ALP,Labor,BURKE,Tony
Curtin,WAP,WESTERN AUSTRALIA PARTY,BURN,Bill
Spence,ALP,Australian Labor Party,BURNELL,Matt
Flynn,ALP,Australian Labor Party,BURNETT,Matt
Barton,ALP,Labor,BURNEY,Linda
Macnamara,ALP,Australian Labor Party,BURNS,Josh
Boothby,IND,Independent,BUSUTTIL,Paul
Eden-Monaro,AUD,Australian Democrats,BUTLER,Greg
Hindmarsh,ALP,Australian Labor Party,BUTLER,Mark
Griffith,ALP,Australian Labor Party,BUTLER,Terri
Cunningham,ALP,Labor,BYRNES,Alison
Whitlam,LP,Liberal,CAINS,Mike
Cowan,CYA,Australian Federation Party,CALAUTTI,Michael
Reid,LDP,Liberal Democrats,CAMERON,Andrew
Farrer,ALP,Labor,CAMERON,Darren Michael
Bennelong,LDP,Liberal Democrats,CAMERON,Dougal
Cook,ON,Pauline Hanson's One Nation,CAMERON,Gaye
Clark,ON,Pauline Hanson's One Nation,CAMERON,Michelle
Hughes,ALP,Labor,CAMPBELL,Riley
Kennedy,UAPP,United Australia Party,CAMPION,Peter
