bylines,band,n_ads,total_spend,pre_spend_s,post_spend_s,persistence,centroid_weeks,ec_index
Hunter Jobs Alliance,transitional,147,41676.5,29099.708333333332,13626.875,0.4682821849588985,-1.9796045341461057,0.8454362326736863
IWDA,election_only,185,19657.5,17785.875,1731.4583333333335,0.09735019128006542,-9.949619263950968,0.5958974524757931
Impact X Pty Ltd,election_only,233,18033.5,0.0,18033.5,,14.091506283939811,0.4580189890792381
Independent Australia,ongoing,73,3613.5,1625.25,1996.5,1.2284263959390862,1.5977871786527824,0.5414528523867931
Independent Cowper Pty LTD,election_only,44,8278.0,8286.25,0.0,0.0,-7.12357821692563,0.7260162224259374
Indian Link,transitional,43,2128.5,1142.625,849.75,0.7436823104693141,2.4451345755693583,0.6084795122062204
Institute of Public Affairs,ongoing,115,27492.5,10644.791666666668,17171.291666666668,1.6131167433212643,4.349018489217654,0.5114303995669093
International Justice Mission Australia,transitional,23,1938.5,1344.5,598.125,0.4448679806619561,1.023118571152803,0.6442554292756982
Invasive Species Council,ongoing,758,97021.0,28070.083333333332,66338.33333333334,2.3633108796138242,8.0545541931731,0.520309706993495
It's Not A Race,election_only,445,221677.5,207813.83333333334,0.0,0.0,-4.459644541056149,0.8284752099593788
Ithaka,election_only,118,62441.0,59413.45833333333,7594.0,0.1278161583760133,-0.07284965524004833,0.8595822792920879
Jack Boyd - Sutherland Shire Councillor,off_campaign,41,2029.5,2421.375,0.0,0.0,-24.917011438306158,0.046707976861298794
Jackson Taylor MP,ongoing,256,41272.0,6649.125,34583.916666666664,5.201273350503512,13.112874542506724,0.36215244799885155
Jacqui Hawkins,off_campaign,33,4533.5,0.0,4330.625,,24.43785745211636,0.06307540056998855
